Country Name,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,Stringency Index,Government Response Index,Containment Health Index,Economic Support Index
Australia,20201112,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201113,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201114,1,1,1,4,1,1,2,4,1,2,0,364632406,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201115,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201116,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201117,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201118,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201119,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201120,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201121,1,1,1,4,1,1,2,4,1,2,0,0,2,2,2,0,0,4,0,1,55.09,58.33,55.95,75
Australia,20201122,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201123,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201124,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201125,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201126,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201127,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201128,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201129,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201130,0,1,1,3,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,50,53.12,50,75
Australia,20201201,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201202,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201203,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201204,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201205,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201206,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201207,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201208,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201209,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,1,62.5,59.38,57.14,75
Australia,20201210,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201211,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201212,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201213,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201214,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201215,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201216,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201217,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201218,1,2,2,4,1,1,2,4,1,2,0,0,2,2,2,0,0,2,0,2,62.5,60.42,58.33,75
Australia,20201219,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201220,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201221,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201222,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201223,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201224,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
